Statistical Analysis Vizualizions for Introtuctory Statistics	Statistical Analysis and Visualization for Introductory Statistics	site.title
Home	Inicio	home.title
About	Acerca de SAVIS	about.title
Download	Bajar Archivo	download.title
User Manual	Manual de Usuario	userManual.title
About	Acerca de SAVIS	about.title
Contact	Contacto	about.contact
Contributors	Contribuidores	about.contributors
Statistical Analysis Visualizations for Introductory Statistics (SAVIS) was conceived as part of a collaborative research project on statistical education between the Department of Mathematics and Statistics at California State University Sacramento (CSUS) and the School of Mathematics of the Universidad Autónoma de Yucatán (UADY). SAVIS is an educational tool to help to intuitively understand concepts of tests of statistical hypotheses using visualizations based on resampling and randomization techniques. SAVIS has an online and a stand-alone version (both freely available) in English and Spanish.	Statistical Analysis Visualizations for Introductory Statistics (SAVIS) fue concebido como parte de un proyecto de investigación en educación de la estadística realizado por el Departamento de Matemáticas y Estadística de la Universidad Estatal de California Sacramento y la Universidad Autónoma de Yucatán. SAVIS es una herramienta educativa que ayuda entender conceptos de pruebas de hipótesis estadísticas a través de visualizaciones basadas en técnicas de aleatorización y re-muestreo. SAVIS tiene una versión autónoma y otra en línea, ambas gratis, en inlglés y en español.	about.content1
SAVIS was created in the Spring of 2019 by the following group of graduating seniors from the Department of Computer Science at CSUS under the direction of Rafael E. Diaz Escamilla, a professor in the Department of Mathematics and Statistics at CSUS:	SAVIS fue creado como un proyecto de titulación por los siguientes estudiantes del Departamento de Ciencias de la Computación de la Universidad Estatal de California Sacramento bajo la dirección de Rafael E. Diaz Escamilla, profesor del Departamento de Matemáticas y Estadística de esta misma universidad:	about.content2
One Proportion	Una Proporción	oneProportion.title
Tosses:	Lanzamientos:	oneProportion.tosses1
Min # of heads:	Min # de caras:	oneProportion.minHead
Max # of head:	Max # de caras:	oneProportion.maxHead
# of samples in interval:	# de muestras en intervalo:	oneProportion.samplesInterval
Proportion:	Proporción:	oneProportion.proportion
# of samples	# de muestras	oneProportion.noOfSamples
# of heads in	# de muestras en	oneProportion.noOfHeads
tosses:	Lanzamientos:	oneProportion.tosses2
Samples	Muestras	oneProportion.Samples
Binomial Prediction	Predicción Binomial	oneProportion.binomial
Selected	Seleccionadas	oneProportion.selected
Remarks:	Notas:	oneProportion.remarkTitle
1. Double click the graph to zoom in/out if # of tosses >= 50.	1. Haga dos clics en al gráfica para agrandarla o disminuirla si el · de lanzamientos es >= 50.	oneProportion.remark1
2. Click the legend to hide/show corresponding info in graph.	2. Haga un clic en las leyendas para mostrar/esconder infromación correspondiente.	oneProportion.remark2
Reset	Reinicio	oneProportion.reset
Draw Samples	Obtener Muestras	oneProportion.drawSamples
Total samples:	Total de muestras	oneProportion.totalSamples
Mean # of heads:	Media # de caras	oneProportion.meanNoOfHeads
Standard Deviation:	Desviación Estándar:	oneProportion.standardDeviation
Probability of Heads p:	Probabilidad de Agulas p:	oneProportion.probHeads
Add samples	Agregar Muestras	oneProportion.addSamples
Select interval for # of heads in:	Seleccione intervalo para el # de caras:	oneProportion.selectInterval
One Mean	Una Media	oneMean.title
Enter Data:	Teclee los Datos	oneMean.enterData
Select Sample Data	Seleccione Datos Muestra	oneMean.selectData
Sample XXX	Muestra XXX	oneMean.sample
Please enter data or drop columns from cvs file here (no column titles - see sample data in drop down menu)	Teclee datos aquí o arrastre archivo csv (sin títulos de columna - ver datos muestra en el menu de arriba)	oneMean.textAreaPlaceHolder
Load Data	Cargar Datos	oneMean.loadData
Reset	Reinicio	oneMean.reset
ID	#	oneMean.id
Value	Dato	oneMean.value
Mean:	Media:	oneMean.mean1
Generate Hypothetical Population	Generar Población Hipotética	oneMean.chartTitle2
Shift mean	Desplace la media	oneMean.shiftMean
Increase data	Incremente la muestra	oneMean.increaseData
times	veces	oneMean.times
Draw Sample	Obtenga la Muestra	oneMean.drawSample
Sample size:	Tamaño de muestra	oneMean.sampleSize
# of samples	# de muestras	oneMean.noOfSample
Run Simulation	Correr Simulacón	oneMean.runSim
Sampling Distribution of Means	Distribucón de las medias	oneMean.chartTitle4
Type of Test	Tipo de Prueba	oneMean.pleaseSelect
One Tail Right	Una cola (derecha)	oneMean.oneTailRight
One Tail Left	Una cola (izquierda)	oneMean.oneTailLeft
Two Tails	Dos colas	oneMean.twoTail
Total # of samples:	Total # de muestras	oneMean.totalNoOfSamples
Sample means at least as extreme as:	Medias iguales a o más extremas que:	oneMean.extremeSamples
samples	muestras	oneMean.samples
Samples	Muestras	oneMean.Samples
Proportion:	Proporción:	oneMean.proportion
sample #	Número de muestra	oneMean.sampleNo
Mean	Media	oneMean.mean2
Mean of sample means:	Media de las medias:	oneMean.meanOfsamplesMeans
Original	Original	oneMean.original
Hypothetical Population	Poblacíon Hipotética	oneMean.hypotheticalPopulation
Most Recent Draw	Ultima Muestra	oneMean.mostRecentDrawn
NaN	NaN	oneMean.noData
Total # samples	Total # muestras	oneMean.totalSamples
No population data	No hay población	oneMean.errorNoPopulation
